==17715== NVPROF is profiling process 17715, command: ./benchMarks/shift_subtract_stack
==17715== Warning: Auto boost enabled on device 0. Profiling results may be inconsistent.
==17715== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==17715== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==17715== Profiling application: ./benchMarks/shift_subtract_stack
==17715== Profiling result:
==17715== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "Tesla K80 (0)"
    Kernel: __shift_subtract_stack_base(unsigned int*, unsigned int*, float*, int, int)
         10                             flop_count_sp           Floating Point Operations(Single Precision)  3022068620  3022068620  3022068620
         10                         flop_count_sp_add       Floating Point Operations(Single Precision Add)  3022068620  3022068620  3022068620
         10                         flop_count_sp_mul        Floating Point Operation(Single Precision Mul)           0           0           0
         10                         flop_count_sp_fma       Floating Point Operations(Single Precision FMA)           0           0           0
         10                             flop_count_dp           Floating Point Operations(Double Precision)           0           0           0
         10                         flop_count_dp_add       Floating Point Operations(Double Precision Add)           0           0           0
         10                         flop_count_dp_mul       Floating Point Operations(Double Precision Mul)           0           0           0
         10                         flop_count_dp_fma       Floating Point Operations(Double Precision FMA)           0           0           0
         10                     flop_count_sp_special   Floating Point Operations(Single Precision Special)   201469952   201469952   201469952
         10                          stall_inst_fetch              Issue Stall Reasons (Instructions Fetch)       5.54%       5.56%       5.55%
         10                     stall_exec_dependency            Issue Stall Reasons (Execution Dependency)      88.96%      88.97%      88.96%
         10                   stall_memory_dependency                    Issue Stall Reasons (Data Request)       1.78%       1.78%       1.78%
         10                             stall_texture                         Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
         10                                stall_sync                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
         10                               stall_other                           Issue Stall Reasons (Other)       0.21%       0.21%       0.21%
         10                     l1_shared_utilization                          L1/Shared Memory Utilization     Low (1)     Low (1)     Low (1)
         10                            l2_utilization                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
         10                           tex_utilization                             Texture Cache Utilization    Idle (0)    Idle (0)    Idle (0)
         10                          dram_utilization                             Device Memory Utilization     Low (1)     Low (1)     Low (1)
         10                        sysmem_utilization                             System Memory Utilization     Low (1)     Low (1)     Low (1)
         10                       ldst_fu_utilization                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
         10                        alu_fu_utilization                  Arithmetic Function Unit Utilization    High (7)    High (7)    High (7)
         10                         cf_fu_utilization                Control-Flow Function Unit Utilization     Low (2)     Low (2)     Low (2)
         10                        tex_fu_utilization                     Texture Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
         10                             inst_executed                                 Instructions Executed  2536706831  2536706831  2536706831
         10                               inst_issued                                   Instructions Issued  2546269712  2546269740  2546269723
         10                               issue_slots                                           Issue Slots  2546269712  2546269740  2546269723
         10                     nc_l2_read_throughput                    L2 Throughput (Non-Coherent Reads)  0.00000B/s  0.00000B/s  0.00000B/s
         10                   nc_l2_read_transactions                     L2 Non-Coherent Read Transactions           0           0           0
         10                  nc_cache_global_hit_rate                          Non-Coherent Global Hit Rate       0.00%       0.00%       0.00%
         10                         nc_gld_throughput            Non-Coherent Global Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         10                         nc_gld_efficiency                   Non-Coherent Global Load Efficiency       0.00%       0.00%       0.00%
         10                      l2_atomic_throughput                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
         10                                inst_fp_32                               FP Instructions(Single)  3223538572  3223538572  3223538572
         10                                inst_fp_64                               FP Instructions(Double)           0           0           0
         10                              inst_integer                                  Integer Instructions  1.4264e+10  1.4264e+10  1.4264e+10
         10                          inst_bit_convert                              Bit-Convert Instructions  4336794508  4336794508  4336794508
         10                              inst_control                             Control-Flow Instructions  6666157848  6666157848  6666157848
         10                        inst_compute_ld_st                               Load/Store Instructions   312619008   312619008   312619008
         10                                 inst_misc                                     Misc Instructions  4.5613e+10  4.5613e+10  4.5613e+10
         10           inst_inter_thread_communication                             Inter-Thread Instructions           0           0           0
         10                    atomic_replay_overhead                                Atomic Replay Overhead    0.000000    0.000000    0.000000
         10                       atomic_transactions                                   Atomic Transactions           0           0           0
         10           atomic_transactions_per_request                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
         10                   sysmem_read_utilization                        System Memory Read Utilization    Idle (0)    Idle (0)    Idle (0)
         10                  sysmem_write_utilization                       System Memory Write Utilization     Low (1)     Low (1)     Low (1)
         10                   l2_l1_read_transactions               L2 Read Transactions (L1 read requests)    27967488    27967488    27967488
         10                  l2_l1_write_transactions             L2 Write Transactions (L1 write requests)    13328384    13328892    13328518
         10                  l2_tex_read_transactions                       L2 Transactions (Texture Reads)           0           0           0
         10                    l2_l1_write_throughput                             L2 Throughput (L1 Writes)  4.0478GB/s  4.0621GB/s  4.0515GB/s
         10                    l2_atomic_transactions                     L2 Transactions (Atomic requests)           0           0           0
         10                          ecc_transactions                                      ECC Transactions     3443261     3446893     3445206
         10                            ecc_throughput                                        ECC Throughput  1.0463GB/s  1.0504GB/s  1.0472GB/s
         10                           stall_pipe_busy                       Issue Stall Reasons (Pipe Busy)       0.25%       0.25%       0.25%
         10          stall_constant_memory_dependency              Issue Stall Reasons (Immediate constant)       0.00%       0.00%       0.00%
         10                        flop_sp_efficiency                          FLOP Efficiency(Peak Single)       1.09%       1.10%       1.10%
         10                        flop_dp_efficiency                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
         10                     stall_memory_throttle                 Issue Stall Reasons (Memory Throttle)       0.17%       0.17%       0.17%
         10                        stall_not_selected                    Issue Stall Reasons (Not Selected)       3.08%       3.08%       3.08%
         10                  eligible_warps_per_cycle                       Eligible Warps Per Active Cycle    5.420542    5.439245    5.430924
         10                         atomic_throughput                                     Atomic Throughput  0.00000B/s  0.00000B/s  0.00000B/s
